00.00.18.08.2012,732.218,148.683
00.01.18.08.2012,701.294,99.9289
00.02.18.08.2012,701.078,99.8982
00.03.18.08.2012,700.169,99.7687
00.04.18.08.2012,699.035,99.6071
00.05.18.08.2012,705.105,100.472
00.06.18.08.2012,701.649,99.9796
00.07.18.08.2012,689.572,98.2588
00.08.18.08.2012,682.24,97.214
00.09.18.08.2012,698.893,99.5869
00.10.18.08.2012,719.319,102.497
00.11.18.08.2012,709.099,101.041
00.12.18.08.2012,677.249,137.521
00.13.18.08.2012,646.007,92.051
00.14.18.08.2012,636.745,90.7312
00.15.18.08.2012,645.009,91.9088
00.16.18.08.2012,641.378,91.3914
00.17.18.08.2012,619.729,125.841
00.18.18.08.2012,653.069,132.611
00.19.18.08.2012,634.366,128.813
00.20.18.08.2012,631.182,128.167
00.21.18.08.2012,649.605,92.5637
00.22.18.08.2012,633.128,90.2158
00.23.18.08.2012,591.518,84.2868
00.24.18.08.2012,566.705,80.7511
00.25.18.08.2012,551.638,78.6041
00.26.18.08.2012,548.361,78.1372
00.27.18.08.2012,562.684,80.1781
00.28.18.08.2012,569.362,81.1297
00.29.18.08.2012,558.81,113.471
00.30.18.08.2012,572.908,116.334
00.31.18.08.2012,578.99,82.5017
00.32.18.08.2012,573.98,116.552
00.33.18.08.2012,578.593,82.445
00.34.18.08.2012,567.34,80.8416
00.35.18.08.2012,559.001,79.6534
00.36.18.08.2012,571.243,81.3976
00.37.18.08.2012,575.025,81.9366
00.38.18.08.2012,569.362,81.1297
00.39.18.08.2012,555.671,112.834
00.40.18.08.2012,596.773,85.0355
00.41.18.08.2012,633.893,90.3249
00.42.18.08.2012,620.388,88.4006
00.43.18.08.2012,606.857,123.228
00.44.18.08.2012,633.305,90.241
00.45.18.08.2012,632.97,90.1933
00.46.18.08.2012,630.53,89.8457
00.47.18.08.2012,613.273,124.53
00.48.18.08.2012,619.228,88.2352
00.49.18.08.2012,618.673,88.1561
00.50.18.08.2012,613.249,87.3833
00.51.18.08.2012,615.768,87.7422
00.52.18.08.2012,648.18,92.3606
00.53.18.08.2012,646.767,92.1593
00.54.18.08.2012,652.267,92.943
00.55.18.08.2012,641.785,91.4494
00.56.18.08.2012,635.752,90.5897
00.57.18.08.2012,632.29,90.0964
00.58.18.08.2012,626.275,89.2394
00.59.18.08.2012,618.617,88.1482
01.00.18.08.2012,584.391,83.2713
01.01.18.08.2012,534.713,76.1925
01.02.18.08.2012,513.233,73.1317
01.03.18.08.2012,496.103,70.6909
01.04.18.08.2012,484.683,69.0635
01.05.18.08.2012,485.228,69.1413
01.06.18.08.2012,485.169,69.1328
01.07.18.08.2012,483.218,68.8548
01.08.18.08.2012,462.431,65.8929
01.09.18.08.2012,461.735,93.7593
01.10.18.08.2012,465.069,94.4363
01.11.18.08.2012,469.077,95.2502
01.12.18.08.2012,464.835,66.2354
01.13.18.08.2012,462.551,65.9099
01.14.18.08.2012,461.775,65.7993
01.15.18.08.2012,465.102,66.2734
01.16.18.08.2012,465.727,66.3625
01.17.18.08.2012,476.841,67.9462
01.18.18.08.2012,460.251,65.5822
01.19.18.08.2012,476.154,67.8483
01.20.18.08.2012,497.416,70.8779
01.21.18.08.2012,499.781,71.2149
01.22.18.08.2012,503.971,71.812
