1305,1275.8,377.028
1310,1256,538.833
1315,1237.5,578.152
1320,1229.9,556.771
1325,1227.5,526.606
1330,1221.7,520.442
1335,1198.8,435.106
1340,1171.3,570.6
1345,1159.6,558.331
1350,1159.6,587.646
1355,1159.6,319.855
1360,1154.1,273.764
1365,1133.6,509.859
1370,1121.2,583.693
1375,1115.8,284.49
1380,1113,357.865
1385,1096.1,260.006
1390,1066.9,464.092
1395,1034.7,293.684
1400,1012.1,235.41
1405,999.04,495.12
1410,998.35,497.576
1415,988.25,517.197
1420,967.66,351.214
1425,942.21,210.231
1430,927.79,462.409
1435,920.24,278.945
1440,920.24,278.945
