0,918.96,374.653
5,918.96,416.01
10,917.79,245.639
15,869.76,335.483
20,860.39,363.926
25,852.78,376.019
30,842.23,400.727
35,835.79,209.469
40,807.68,341.631
45,787.76,323.592
50,777.22,184.364
55,770.78,384.155
60,766.68,217.611
65,758.48,403.182
70,736.81,167.921
75,718.06,327.158
80,702.84,303.63
85,708.11,270.866
90,708.11,217.297
95,706.35,309.358
100,704.01,314.576
105,704.01,170.194
110,702.83,371.679
115,701.08,220.323
120,695.81,358.399
125,688.78,297.556
130,682.92,168.148
135,674.14,223.962
140,665.35,277.385
145,660.67,205.192
150,657.74,211.484
155,654.81,309.682
160,653.05,205.229
165,654.81,353.429
170,657.15,158.866
175,657.74,282.175
180,657.74,170.517
185,657.74,234.338
190,658.91,307.839
195,664.18,213.555
200,671.79,256.973
205,678.24,184.32
210,678.83,210.832
215,681.16,314.301
220,678.83,175.984
225,672.97,292.736
230,669.45,173.552
235,668.28,300.572
240,668.28,266.218
245,675.9,304
250,691.12,373.027
255,706.94,368.031
260,713.97,239.7
265,714.55,172.742
270,719.82,315.258
275,728.61,259.587
280,736.22,373.091
285,741.49,309.128
290,743.25,198.925
295,745,373.389
300,753.79,263.464
305,770.19,171.849
310,791.28,411.938
315,810.61,415.288
320,840.48,342.658
325,854.53,259.027
330,862.73,216.221
335,875.03,199.421
340,892.6,270.567
345,909.01,473.228
350,920.72,340.249
355,927.75,414.55
360,934.18,221.597
365,934.18,470.811
370,949.41,357.043
375,969.9,329.002
380,987.48,374.554
385,993.34,333.492
390,996.27,515.91
395,1004.5,251.751
400,1014.4,354.552
405,1025,542.052
410,1042,474.749
415,1056.6,481.401
420,1068.3,445.376
425,1079.4,570.821
430,1094.7,472.916
435,1110.5,489.656
440,1138.6,548.22
445,1152.1,448.056
450,1148.5,496.157
455,1133.9,451.704
460,1118.7,585.468
465,1110.5,449.305
470,1118.7,270.446
475,1132.7,433.28
480,1126.9,455.94
485,1102.3,527.608
490,1084.7,438.866
495,1073,427.444
500,1064.8,379.364
505,1052.5,464.082
510,1034.3,549.799
515,1024.4,247.649
520,1020.9,416.214
525,1014.4,444.274
530,1013.3,303.322
535,1017.9,501.609
540,1020.3,536.771
545,1019.7,327.866
550,1017.4,402.102
555,1010.9,472.286
560,1001,208.441
565,1001,464.776
570,1001,389.293
575,997.44,371.862
580,993.34,269.952
585,988.66,489.976
590,982.21,270.925
595,972.84,312.799
600,956.44,282.65
605,947.07,374.306
610,931.26,350.217
615,917.2,436.397
620,911.93,428.669
625,911.34,293.025
630,911.34,216.179
635,916.03,474.359
640,922.47,312.913
645,926.57,320.692
650,926.58,336.304
655,924.23,399.272
660,926.57,297.921
665,927.74,422.691
670,934.77,221.737
675,947.07,464.038
680,958.2,308.092
685,959.37,297.963
690,959.37,297.963
695,950.58,262.201
